sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC	mir_dup_ratio	mir_rmdup_num	QCrankSum
SAMN03863551	5e+06	965624	0.1205364	0.2481934	6.54e-05	0.0038388	0.2424756	0.019357	0.006142	0.2116212	0.0002012	0.0062892	5.12e-05	0.0872384	0.002709	0.0145548	0.0036874	0.005387	0.0038532	0.0026114	0.00793	0.0079366	0.0025066	0.0028142	TRUE	0.998412211373021	1925	542
SAMN03863552	5e+06	968054	0.152749	0.214671	3.04e-05	0.0072152	0.2439118	0.0203812	0.0050684	0.2109738	0.0001706	0.0057468	4.44e-05	0.0911552	0.0022094	0.0115582	0.003331	0.0048182	0.0037628	0.002574	0.0075108	0.0073172	0.0023314	0.0024692	TRUE	0.998498637622288	1831	302
SAMN03863553	5e+06	1031777	0.0796648	0.2407042	1.56e-05	0.0072814	0.2926156	0.019075	0.0039304	0.2384742	0.000184	0.0038538	4.92e-05	0.0825242	0.0016288	0.0135482	0.0013422	0.0023848	0.001735	0.0011038	0.0032964	0.0041174	0.000933	0.001538	TRUE	0.99863301888211	2000	410
SAMN03863554	5e+06	1112890	0.1050944	0.231077	0.0001308	0.0198676	0.3252442	0.0189016	0.006233	0.170052	0.0002778	0.007254	6.4e-05	0.047873	0.0031748	0.0216998	0.0041702	0.0052302	0.0039708	0.003036	0.0090222	0.010637	0.0037466	0.003243	TRUE	0.998630567432102	2227	468
SAMN03863555	5e+06	755562	0.1151954	0.2228594	2.92e-05	0.108702	0.158795	0.0218948	0.0052916	0.2253156	0.0001584	0.0027892	3.02e-05	0.1021212	0.002147	0.0074476	0.0027686	0.0044686	0.0030208	0.002274	0.0055842	0.0054196	0.0018558	0.0018318	TRUE	0.997901697156712	1666	433
SAMN03863556	5e+06	868785	0.1098134	0.2047344	1.74e-05	0.0113696	0.1988982	0.0243968	0.0033948	0.2756618	0.0001476	0.0028808	3.48e-05	0.1324668	0.0015392	0.012658	0.002061	0.0031106	0.002127	0.0019846	0.0043752	0.0048008	0.0017118	0.0018154	TRUE	0.998283544044139	1707	555
SAMN03863557	5e+06	955221	0.094301	0.2002918	2.02e-05	0.0013718	0.2253936	0.0211066	0.0032302	0.2865502	0.0001834	0.0021508	2.5e-05	0.132035	0.0014252	0.0118796	0.0018286	0.0029374	0.0020964	0.0017144	0.0040688	0.0042272	0.0016	0.0015628	TRUE	0.998393033342562	1811	544
SAMN03863558	5e+06	1023993	0.1146814	0.2379196	4.26e-05	0.0133764	0.2768068	0.022314	0.006306	0.2096824	0.0002054	0.0042468	3.84e-05	0.067377	0.0028796	0.0099198	0.0035086	0.0057276	0.0040524	0.0024926	0.0077958	0.0057608	0.0024532	0.0024128	TRUE	0.998624311252469	1904	719
SAMN03863559	5e+06	1015220	0.112191	0.1628226	1.9e-05	0.0127668	0.2594042	0.0247122	0.0035428	0.2671272	0.0001268	0.0025422	2.9e-05	0.12094	0.0015792	0.0095264	0.0023576	0.0033696	0.0023042	0.0017176	0.004659	0.0044488	0.0018116	0.0020022	TRUE	0.998534333676941	1901	595
SAMN03863560	5e+06	1035198	0.1138204	0.2243734	2.94e-05	0.0030418	0.2585528	0.0182508	0.0050802	0.2329306	0.0001794	0.004168	4.16e-05	0.0955252	0.0020332	0.0140506	0.0028206	0.0041604	0.0030322	0.001972	0.0059882	0.0056852	0.0018234	0.0024406	TRUE	0.998456021361981	1996	403
SAMN03863561	3698246	740474	0.115515301037303	0.190024946961343	3.19070175429109e-05	0.0340983266121291	0.26191497266542	0.0227451067343817	0.00562374704116492	0.237577489436884	0.000160346283075815	0.003164473104277	2.78510407366087e-05	0.0851838952844132	0.00255093901271035	0.00934091458491404	0.00338782222707738	0.00520435903939327	0.00359846262255134	0.00235976730590664	0.00703198218831305	0.00577922615207317	0.00229351968473703	0.00238464396365196	TRUE	0.998244936642213	1700	448
SAMN03863562	5e+06	952711	0.1231152	0.3127244	5.54e-05	0.004656	0.2400986	0.0174158	0.0073056	0.164796	0.0002282	0.0066906	5.58e-05	0.0715974	0.0030716	0.0093292	0.003599	0.0058872	0.004487	0.0028404	0.0085	0.0085536	0.0023416	0.0026514	TRUE	0.998458133450174	1851	659
SAMN03863563	5e+06	1042132	0.153543	0.211284	3.02e-05	0.0090182	0.3182672	0.0184452	0.0057442	0.1627696	0.0001952	0.0062606	4e-05	0.062841	0.0024778	0.011478	0.00374	0.0054352	0.0044216	0.0027178	0.0083082	0.0076602	0.0025598	0.002763	TRUE	0.998748850022874	1991	512
SAMN03863564	5e+06	1056462	0.0841842	0.2288094	1.62e-05	0.0057848	0.3188326	0.0163086	0.0035324	0.2241266	0.0001722	0.0036322	4.84e-05	0.0847306	0.0015794	0.0118336	0.0013058	0.0023426	0.0017468	0.0011776	0.0033542	0.0040392	0.0010004	0.0014422	TRUE	0.998782433163986	1941	445
SAMN03863565	5e+06	995899	0.102167	0.1634234	1.76e-05	0.0120068	0.2491276	0.0261558	0.003688	0.2764564	0.000145	0.0026182	2.9e-05	0.1291146	0.0016342	0.0117874	0.002261	0.0032602	0.0022532	0.001768	0.00441	0.004255	0.00164	0.0017816	TRUE	0.998430523153597	1955	324
SAMN03863566	5e+06	849477	0.090092	0.1737926	1.28e-05	0.0076296	0.1809404	0.0297152	0.002997	0.3339174	0.0001348	0.002415	2.3e-05	0.1516434	0.0013362	0.0092014	0.00154	0.0022868	0.0016406	0.0015546	0.0031802	0.0033612	0.001281	0.0013048	TRUE	0.998096610817706	1722	568
SAMN03863567	5e+06	993038	0.121517	0.2449702	3.8e-05	0.0148342	0.2538316	0.0200636	0.0061608	0.1960428	0.0002002	0.0062614	5.3e-05	0.0870094	0.0026858	0.0133538	0.0034572	0.0053878	0.0036952	0.0022886	0.0073394	0.0061488	0.0021746	0.0024866	TRUE	0.998436758859023	1984	304
SAMN03863568	5e+06	942822	0.1949982	0.199314	3.2e-05	0.0038876	0.2393944	0.0185684	0.005823	0.187178	0.0001624	0.0051122	3.88e-05	0.082255	0.002605	0.019499	0.0042314	0.0058924	0.0046426	0.0030988	0.008984	0.008269	0.0030338	0.00298	TRUE	0.998426863786287	1883	427
SAMN03863569	5e+06	991505	0.121307	0.2682556	4.32e-05	0.0089612	0.2344646	0.020189	0.006844	0.2119804	0.0002054	0.004216	6.54e-05	0.0739724	0.0029218	0.010914	0.0035678	0.0057634	0.003982	0.0024504	0.0080804	0.0068652	0.002229	0.0027218	TRUE	0.998400611435586	1875	310
SAMN03863570	5e+06	1020942	0.1590174	0.208014	3.66e-05	0.015752	0.256223	0.017688	0.0059802	0.2079754	0.0001552	0.003349	4.66e-05	0.0742354	0.0024994	0.0112496	0.003801	0.005593	0.0042924	0.0027118	0.0083488	0.0076292	0.002559	0.002843	TRUE	0.998569995667836	1832	282
SAMN03863571	5e+06	875040	0.0967416	0.1990136	2.94e-05	0.0420022	0.1757314	0.02873	0.0038382	0.278182	0.0005192	0.0032474	3.46e-05	0.1420482	0.0013882	0.0090042	0.0020422	0.0028088	0.0019958	0.0015748	0.0037146	0.0041998	0.0014646	0.0016892	TRUE	0.997775013458039	1955	253
SAMN03863572	5e+06	862429	0.1037234	0.2477892	3.02e-05	0.0181958	0.2034726	0.0233886	0.0040528	0.2480328	0.0002082	0.0038904	4.1e-05	0.1116414	0.0017238	0.011069	0.0021324	0.0032286	0.002372	0.0020352	0.0045892	0.0050164	0.001654	0.001713	TRUE	0.998213027208578	1818	487
SAMN03863573	5e+06	1181301	0.093604	0.1522626	2.26e-05	0.01235	0.3354448	0.0228218	0.003106	0.2416236	0.0001472	0.002598	2.38e-05	0.1015212	0.0014802	0.0142746	0.0019036	0.0027364	0.0020254	0.0014286	0.0039696	0.003631	0.0015412	0.0014838	TRUE	0.99879264785145	2025	564
SAMN03863574	5e+06	948682	0.0912098	0.2460618	2.34e-05	0.013318	0.2548278	0.0180418	0.0045042	0.2381426	0.0002146	0.0047518	4.58e-05	0.0904352	0.001951	0.0155288	0.0017532	0.002638	0.0022724	0.001592	0.0040762	0.0058692	0.0012514	0.001491	TRUE	0.998511936295804	1896	497
SAMN03863575	5e+06	871919	0.1078084	0.1751004	1.92e-05	0.0086674	0.185305	0.0291736	0.0030148	0.2943366	0.0001652	0.0029972	3.1e-05	0.1618702	0.001339	0.011578	0.001907	0.0026658	0.0018376	0.0014504	0.0035994	0.0039282	0.001563	0.0016426	TRUE	0.998098270419039	1762	339
SAMN03863576	5e+06	960231	0.1162098	0.1510316	3.66e-05	0.0019828	0.2505072	0.0262684	0.0030496	0.2644964	0.000165	0.0037174	2.8e-05	0.1390346	0.001494	0.0191752	0.0023136	0.0030946	0.0024008	0.0018944	0.0046626	0.0045134	0.0019988	0.0019252	TRUE	0.998463118026149	1925	590
SAMN03863577	5e+06	949045	0.0768566	0.1965328	7.74e-05	0.0200234	0.2672152	0.023963	0.002816	0.2628218	0.0001858	0.0032938	3.2e-05	0.118319	0.0014932	0.011053	0.0013582	0.0019334	0.0015002	0.0014894	0.0029958	0.0036586	0.0012686	0.0011128	TRUE	0.998556219855757	1929	423
SAMN03863578	5e+06	1028835	0.1224584	0.1802396	2.76e-05	0.0041246	0.2602758	0.0188718	0.004484	0.2461828	0.0001632	0.0031356	4.66e-05	0.107118	0.0019154	0.0241944	0.0027316	0.003877	0.0028746	0.0019038	0.0057014	0.0053622	0.001872	0.0024396	TRUE	0.998483915907664	1973	586
